Paul Dummett
Semi Ajayi
Jonathan Williams
Graziano Pellè
Dejan Lovren
Theo Walcott
Mehdi Abeid
Sung-Yong Ki
Steven Hewitt
Sébastien Pocognoli
Yannick Sagbo
Nenê
Michael Harriman
Andreas Pereira
Andy King
Sammy Ameobi
Nemanja Matic
Conor Townsend
Steven Taylor
George Honeyman
Mauricio Isla
Haris Vuckic
Jed Steer
David Jones
Lukas Podolski
Danny Simpson
Aly Cissokho
Karl Darlow
Peter Odemwingie
George Glendon
Vurnon Anita
Gabriel Obertan
Brown Ideye
Lewis Page
Nathan Aké
Tom Ince
Fraser Forster
Matt Grimes
Jordan Archer
Fabricio Coloccini
Danny Ings
Jozy Altidore
Dominic Ball
Marvin Emnes
Tom Hopper
Paulo Gazzaniga
José Fonte
Adam Smith
Wayne Rooney
Alex Song
Serge Gnabry
Andrej Kramaric
Wellington Silva
Sam Vokes
David Silva
Juan Mata
Michael Carrick
Chung-Yong Lee
Brad Jones
Aleksandar Kolarov
Phil Jones
Glenn Whelan
Charles N'Zogbia
John Obi Mikel
Tom Carroll
Hiram Boateng
Jamie Sterry
Thomas Robson
Jay Fulton
Neil Taylor
Ahmed Elmohamady
Ashley Barnes
Reece Grego-Cox
Reece James
Cheikhou Kouyaté
Joleon Lescott
Jonas Olsson
Conor Grant
Ryan Watson
Artur Boruc
Ryan Ledson
Chris Brunt
Jack Grealish
Silvestre Varela
Ayoze Pérez
Adrián
Anders Lindegaard
Emmanuel Onariase
Scott Dann
Ritchie de Laet
Jos Hooiveld
César Azpilicueta
Alan Hutton
Jordan Williams
Jack Colback
Sebastián Blanco
Luke Daniels
Jason Gilchrist
Siem de Jong
Branislav Ivanovic
Glen Johnson
Jerome Thomas
Sylvain Distin
Steve Sidwell
Pape Souaré
Jason McCarthy
Clint Hill
Stephen Quinn
Tim Krul
Gary Cahill
Micah Richards
Joey Barton
Víctor Valdés
Abou Diaby
Martin Skrtel
Jazz Richards
Emanuele Giaccherini
Remie Streete
Raphael Spiegel
Jack Barmby
Leonardo Ulloa
Jack Butland
Marc Muniesa
Antonio Valencia
André Schürrle
Federico Fernández
Wilfried Bony
Harry Kane
Adil Nabi
Ben Davies
Tyias Browning
Olivier Giroud
Liam Rosenior
Aaron Mitchell
Mohamed Salah
Karim Rekik
Kyle Naughton
Alex Cisak
Florin Gardos
Saidy Janko
Adam Campbell
Ángel Rangel
Michael Cain
Rémy Cabella
Chris Long
Lloyd Isgrove
Robert Snodgrass
Harrison Reed
Steven Caulker
Will Buckley
Doneil Henry
Chuba Akpom
Aaron Lennon
Damien Delaney
Dame N'Doye
